小韻號,藤田條目號,韻目原貌,音韻地位,代表字,反切上字,反切下字,反切上字-又,反切下字-又,直音,反切上字地位,反切下字地位,反切上字地位-又,反切下字地位-又,對應廣韻小韻號,兩家差異注釋,代表字釋義,代表字釋義-又（又 = 李永富資料之與前一列不同者）
170,1263,脂,溪合三B脂平,巋,丘,追,,,,溪三C尤平,知合三脂平,,,183,,小山而衆.丘追反.又丘誄反.一.,
171,1266,脂,疑開三B脂平,狋,牛,肌,,,,疑三C尤平,見開三B脂平,,,184,,犬怒㒵.牛肌反.又巨貟反.一.,犬怒皃.牛肌反.又巨貟反.一.
172,1270,之,章開三之平,之,止,而,,,,章開三之上,日開三之平,,,186,,止而反.二.,
173,1274,之,以開三之平,飴,与,之,,,,以開三魚上,章開三之平,,,187,,与之反.十二.,
174,1298,之,常開三之平,時,市,之,,,,常開三之上,章開三之平,,,188,,市之反.三.,
175,1303,之,疑開三C之平,疑,語,基,,,,疑開三C魚上,見開三C之平,,,189,,語基反.二.,
176,1307,之,心開三之平,思,息,兹,,,,心開三蒸入,精開三之平,,,190,,息兹反.九.,
177,1319,之,初開三之平,輜,楚,治,,,,初開三魚上,澄開三之平,,,191,,楚治反.又側治反.二.,
178,1321,之,羣開三C之平,其,渠,之,,,,羣開三C魚平,章開三之平,,,192,,渠之反.十八.,
179,1344,之,書開三之平,詩,書,之,,,,書開三魚平,章開三之平,,,193,,書之反.二.,
180,1348,之,日開三之平,而,如,之,,,,日開三魚平,章開三之平,,,194,,如之反.十二.,
181,1362,之,溪開三C之平,欺,去,其,,,,溪開三C魚去,羣開三C之平,,,195,,詐.去其反.五.,
182,1368,之,見開三C之平,姬,居,之,,,,見開三C魚平,章開三之平,,,196,,居之反.七.,
183,1375,之,邪開三之平,詞,似,兹,,,,邪開三之上,精開三之平,,,197,,似兹反.五.,
184,1380,之,來開三之平,釐,理,之,里,,,來開三之上,章開三之平,,,198,,理.一曰福.理之反.七.,理.一曰福.里之反.七.
185,1393,之,莊開三之平,甾,側,持,,,,莊開三蒸入,澄開三之平,,,199,,側持反.八.,
