反切字,音韻地位
質,章開三真入
賮,從開三真去
贈,從開一登去
贍,常開三鹽去
赤,昌開三清入
赧,孃開二刪上
起,溪開三C之上
越,云合三C元入
足,精三鍾入
跡,精開三清入
路,來一模去
踈,生開三魚平
踐,從開三仙上
蹇,見開三B仙上
車,昌開三麻平
軌,見合三B脂上
軒,曉開三C元平
軫,章開三真上
輙,知開三鹽入
輦,來開三仙上
輸,書合三虞平
轉,知合三仙上
辛,心開三真平
辝,邪開三之平
辟,幫三A清入
辦,並二山去
辨,並三B仙上
迂,影合三C虞平
迄,曉開三C殷入
迥,匣合四青上
迷,明四齊平
迸,幫二耕去
追,知合三脂平
送,心一東去
逆,疑開三B庚入
逐,澄三東入
速,心一東入
連,來開三仙平
進,精開三真去
逵,羣合三B脂平
逺,云合三C元上
逼,幫三B蒸入
遂,邪合三脂去
遇,疑合三C虞去
遊,以三尤平
運,云合三C文去
過,見合一歌平
道,定開一豪上
達,定開一寒入
遘,見一侯去
遥,以開三宵平
遭,精開一豪平
遮,章開三麻平
遴,來開三真去
遵,精合三真平
選,心合三仙去
遺,以合三脂平
避,並三A支去
邁,明二夬去
還,匣合二刪平
那,泥開一歌平
邪,以開三麻平
郎,來開一唐平
郢,以開三清上
郤,溪開三B庚入
郭,見合一唐入
都,端一模平
鄙,幫三B脂上
鄧,定開一登去
鄭,澄開三清去
鄰,來開三真平
酉,以三尤上
配,滂一灰去
酣,匣開一談平
酷,溪一冬入
醉,精合三脂去
醒,心開四青上
采,清開一咍上
里,來開三之上
野,以開三麻上
金,見開三B侵平
針,章開三侵平
釧,昌合三仙去
鈍,定合一魂去
鉤,見一侯平
銜,匣開二銜平
銳,以合三祭去
鋤,崇開三魚平
錦,見開三B侵上
録,來三鍾入
鍾,章三鍾平
鎋,匣開二刪入
鑑,見開二銜去
開,溪開一咍平
閏,日合三真去
閑,匣開二山平
間,見開二山平
閔,明三B真上
閤,見開一覃入
閭,來開三魚平
闃,溪合四青入
關,見合二刪平
阮,疑合三C元上
防,並三C陽平
阻,莊開三魚上
阿,影開一歌平
陁,定開一歌平
附,並三C虞去
陌,明二庚入
降,見二江去
限,匣開二山上
陟,知開三蒸入
除,澄開三魚平
陵,來開三蒸平
陷,匣開二咸去
陽,以開三陽平
隅,疑合三C虞平
隆,來三東平
隕,云合三B真上
隘,影開二佳去
隨,邪合三支平
險,曉開三B鹽上
隱,影開三C殷上
隴,來三鍾上
隹,章合三脂平
隻,章開三清入
雀,精開三陽入
雅,疑開二麻上
雉,澄開三脂上
雌,清開三支平
雖,心合三脂平
雙,生二江平
離,來開三支平
雨,云合三C虞上
雪,心合三仙入
雲,云合三C文平
電,定開四先去
霍,曉合一唐入
霞,匣開二麻平
霸,幫二麻去
靈,來開四青平
靜,從開三清上
非,幫三C微平
靡,明三B支上
面,明三A仙去
革,見開二耕入
靳,見開三C殷去
鞕,疑開二庚去
鞵,匣開二佳平
韋,云合三C微平
音,影開三B侵平
韽,影開二咸去
頃,溪合三A清上
項,匣二江上
須,心合三虞平
頑,疑合二山平
頰,見開四添入
顇,從合三脂去
顔,疑開二刪平
願,疑合三C元去
類,來合三脂去
顯,曉開四先上
食,船開三蒸入
飲,影開三B侵上
飽,幫二肴上
餘,以開三魚平
香,曉開三C陽平
馮,並三C東平
馳,澄開三支平
